date,mass
2002-4-14,0
2002-5-6,14.61
2002-8-13,-242.44
2002-9-16,-265.41
2002-10-14,-279.5
2002-11-13,-246
2002-12-16,-184.1
2003-1-14,-164.07
2003-2-13,-171.23
2003-3-12,-81.75
2003-4-14,-28.04
2003-5-10,1.18
2003-7-14,-194.15
2003-8-13,-360.77
2003-9-16,-417.66
2003-10-14,-398.06
2003-11-13,-355.9
2003-12-16,-363.45
2004-1-7,-385.72
2004-2-17,-372.86
2004-3-16,-344.13
2004-4-14,-248.23
2004-5-13,-269.57
2004-6-16,-325.01
2004-7-14,-408.7
2004-8-13,-542.25
2004-9-16,-536.92
2004-10-14,-613.81
2004-11-13,-561.17
2004-12-16,-571.04
2005-1-14,-563.76
2005-2-13,-471.5
2005-3-12,-422.56
2005-4-14,-403.22
2005-5-13,-429.58
2005-6-16,-467.23
2005-7-14,-585.59
2005-8-13,-760.6
2005-9-16,-844.55
2005-10-14,-896.66
2005-11-13,-883.47
2005-12-16,-760.73
2006-1-14,-757.43
2006-2-13,-691.38
2006-3-12,-661.19
2006-4-14,-725
2006-5-13,-714.66
2006-6-12,-674.03
2006-7-14,-778.16
2006-8-13,-930.59
2006-9-16,-1035.27
2006-10-14,-1007.69
2006-11-13,-984.12
2006-12-16,-971.65
2007-1-14,-934.98
2007-2-13,-924.25
2007-3-12,-935.46
2007-4-14,-902.42
2007-5-13,-883.09
2007-6-12,-889.08
2007-7-14,-1086.75
2007-8-13,-1302.22
2007-9-16,-1365.98
2007-10-14,-1328.54
2007-11-13,-1324.16
2007-12-16,-1269.01
2008-1-14,-1262.37
2008-2-13,-1240.03
2008-3-16,-1159.21
2008-4-14,-1181.75
2008-5-13,-1258.31
2008-6-16,-1254.73
2008-7-14,-1400.06
2008-8-13,-1562.84
2008-9-16,-1588.21
2008-10-14,-1595.1
2008-11-13,-1523.6
2008-12-16,-1483.06
2009-1-14,-1420.35
2009-2-13,-1403.48
2009-3-12,-1464.96
2009-4-14,-1484.56
2009-5-13,-1470.91
2009-6-16,-1410.18
2009-7-14,-1485.9
2009-8-13,-1664.46
2009-9-16,-1804.7
2009-10-14,-1780.28
2009-11-13,-1784.12
2009-12-16,-1673.23
2010-1-14,-1710.59
2010-2-13,-1715.52
2010-3-12,-1663.18
2010-4-14,-1692.2
2010-5-13,-1664.31
2010-6-12,-1726.7
2010-7-14,-1941.7
2010-8-13,-2159.59
2010-9-16,-2302.98
2010-10-14,-2248.41
2010-11-13,-2243.61
2010-12-16,-2188.51
2011-2-17,-2198.57
2011-3-12,-2153.59
2011-4-14,-2141.83
2011-5-13,-2139.17
2011-7-18,-2382.57
2011-8-13,-2563.24
2011-9-16,-2643.41
2011-10-14,-2614.74
2011-10-29,-2679.61
2012-1-0,-2655.17
2012-1-14,-2641.92
2012-2-13,-2605.74
2012-3-16,-2517.14
2012-4-7,-2476.37
2012-6-16,-2556.12
2012-7-14,-2793.76
2012-8-13,-3075.35
2012-9-12,-3166.01
2012-11-20,-3142.52
2012-12-16,-3110.66
2013-1-14,-3091.58
2013-2-13,-3039.1
2013-4-18,-3071.53
2013-5-13,-3038.67
2013-6-16,-3008.85
2013-7-14,-3135.19
2013-10-14,-3226.7
2013-11-13,-3171.18
2013-12-16,-3182.49
2014-1-7,-3151.13
2014-3-16,-3127.28
2014-4-14,-3113.86
2014-5-13,-3095.46
2014-6-12,-3127.45
2014-8-13,-3449.32
2014-9-16,-3496.04
2014-10-14,-3446
2014-11-17,-3410.67
2015-1-22,-3348.3
2015-2-13,-3276.05
2015-3-12,-3266.61
2015-4-14,-3267.63
2015-4-25,-3278.22
2015-7-11,-3476.59
2015-8-13,-3632.79
2015-9-12,-3610.77
2015-12-19,-3609.53
2016-1-14,-3583.23
2016-2-13,-3553.32
2016-3-16,-3546.04
2016-5-17,-3495.17
2016-6-16,-3522.2
2016-7-14,-3696.12
2016-8-20,-3905.51
2016-11-28,-3802.7
2016-12-23,-3800.21
2017-1-22,-3778.74
