lane	slide	title	start	end	depthm	depthmi	desc	quote	mobileQuote	imgName	imgSource	imgFile	fileWidth	fileHeight	imgX	imgY	lightBoxFile	furtherReading
0	0	An Arctic Timeline	2018	2020	1	1	Explore critical moments in climate history, human exploration, and culture by scrolling down the ice core.	Explore critical moments in climate history, human exploration, and culture by scrolling down the ice core.</p><p>On the left, time is shown true to scale for the last million years of the Greenland ice sheet's three-million-year history. Time is also shown as approximate depth along the GISP2 ice core.</p><p id = 'byline'>Created by <a href='http://andreschang.com' target="_blank" id ="bylineLink" >Andres Chang</a><span id ="qEnd0"></span>	Explore critical moments in climate history, human exploration, and culture by scrolling down the ice core. On the left, time is shown true to scale for the last million years of the Greenland ice sheet's three-million-year history. Time is also shown as approximate depth along the GISP2 ice core<br><br>This is an abbreviated version for mobile. Read the full version with images on desktop<span id ="qEnd0">.</span>									
0	1	Continued Greenland ice loss	2010	2017	1	1	If fully melted, the Greenland ice sheet would raise global sea level by about 20 feet. Scientists agree that human-induced climate change is accelerating Greenland ice loss, which carries major implications for coastal regions across the world. Still, a complex array of feedback systems that contribute to ice loss remain incompletely understood, making it difficult to accurately predict future melt rates. Based on analyses of satellite data and direct observations, scientists estimate that nearly 4000 billion metric tons of ice have been lost from Greenland since 2002 – almost enough to fill Lake Michigan – but the rate of ice loss could increase dramatically if we don’t take action to fight climate change.	Scientists estimate that nearly 4000 billion metric tons of ice have been lost from Greenland since 2002, but the rate of ice loss could increase dramatically if we don’t take action to fight climate change<span id ="qEnd1">.</span>	Scientists estimate that nearly 4000 billion metric tons of ice have been lost from Greenland since 2002, but the rate of ice loss could increase dramatically if we don’t take action to fight climate change<span id ="qEnd1">.</span>	Greenland Ice Loss 2002-2016	Credit: NASA	iceloss_crop	365	564	325	200	iceloss2	<p>The New York Times, <a target="_blank" href="https://www.nytimes.com/interactive/2015/10/27/world/greenland-is-melting-away.html?_r=0">Greenland is Melting Away.</a></p><p>NASA Global Climate Change, <a target="_blank" href="https://climate.nasa.gov/vital-signs/land-ice/">Vital Signs of the Planet.</a></p>
1	2	Contemporary Inuit Art	1998	2008	1	1	Later work by the celebrated printmaker <a target="_blank" href="http://www.dorsetfinearts.com/kananginakpootooogook">Kananginak Pootoogook</a> (1935-2010) portray the artist’s memories of camping and hunting scenes, while the work of his niece <a target="_blank" href="http://www.dorsetfinearts.com/shuvinai-ashoona/">Shuvinai Ashoona</a> (1961–) depicts life in the permanent settlement of Cape Dorset: scenes touched by both fantasy and alienation. These bodies of work are deeply personal, offering rare glances into a society that can be traced back over a thousand years.	Recent drawings and prints by Inuit artists reflect a broad spectrum of themes, sometimes reflecting the challenges faced by a community whose way of life has been radically altered over just a few generations<span id ="qEnd2">.</span>	Recent drawings and prints by Inuit artists reflect a broad spectrum of themes, sometimes reflecting the challenges faced by a community whose way of life has been radically altered over just a few generations<span id ="qEnd2">.</span>	Arctic Evening by Shuvinai Ashoona	© Dorset Fine Arts	shuvinai	800	599	270	220		
2	3	Initiation of GISP2 Ice Core Drilling	1988	1993	0	0	The second Greenland Ice Sheet Project (GISP2) ice core, which is featured in <i>88 Cores</i>, provides a highly detailed and accurate record of climate over the last 110,000 years. Like rings of a tree, ice core layers correspond to different years in Earth’s history. Scientists can analyze ice properties like grain size and gas concentration to explore past climate conditions including air temperature, pollution, and snowfall. Drilling in central Greenland for GISP2 was initiated in 1988 and was completed five years later in 1993.	Ice cores are an invaluable resource that allow scientists to determine past climate conditions like air temperature and snowfall<span id ="qEnd3">.</span>	Ice cores are an invaluable resource that allow scientists to determine past climate conditions like air temperature and snowfall<span id ="qEnd3">.</span>	GISP2 drill dome	© Paul Mayewski	gisp2_crop	331	574	400	200		<p><i>All GISP2 depths determined from the <a href="ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/greenland/summit/gisp2/depthage/gisp2age.txt" target="_blank">GISP2 Meese/Sowers Timescale</a> and Suwa, M. et al.'s <a href="ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/greenland/summit/gisp2/depthage/gisp2-grip-basal-age.txt" target="_blank">GISP2/GRIP Reconstructed Ages for Disturbed Bottom Sections</a>.</i></p><p>D. Graham Burnett, <a href="http://dgrahamburnett.net/wp-content/uploads/2013/08/BurnettDG_ArchiveofIce_Cabinet_59_2016.pdf" target="_blank">The Archive of Ice</a>.</p>
2	4	Reaching the North Pole	1909	1914	-34.27	-0.021	<p>Both emerged in 1909–within several days of each other–to declare success. Their claims are disputed, as neither produced sufficient evidence to verify his location at precisely 90˚N. To this day, the identity of the first person to stand at the North Pole remains unclear.</p> <p>Any attempt to reach the North Pole is impeded by the fact that, unlike the South Pole, it is uncovered by landmass. Instead, the North Pole is located on drifting sea ice, constantly in motion. Despite our cultural fascination with it, the North Pole can be understood in essence as a fabrication of geometry. As one early explorer wrote, “the pole was ascertained to be the intersection of lines in a point, of which nothing was to be seen in reality.”</p>	Relying heavily on Inuit guides, American explorers Frederick Cook and Robert E. Peary raced to reach the North Pole in the early twentieth century<span id ="qEnd4">.</span>	Relying heavily on Inuit guides, American explorers Frederick Cook and Robert E. Peary raced to reach the North Pole in the early twentieth century<span id ="qEnd4">.</span>	Peary's sledge party at the North Pole, April 7, 1909	Credit: U.S. National Archives and Records Administration	northpole2	902	1200	340	220		
0	5	Widespread Greenland ice melt event	1889	1894	-40.53	-0.025	By studying the layers of a Greenland ice core, scientists determined that the Greenland ice sheet experienced an extreme amount of surface melting in 1889. They identified a layer in the core from that year with nearly bubble-free ice – a signature of snow that melted and later refroze. In addition, they found evidence for a possible cause of the melt event: a high concentration of black carbon, which decreases the reflectivity of ice and was probably the result of forest fires raging across Europe at the time. Similar conditions were identified in ice core layers from 2012, the worst melt year on record. Climate change is known to increase the frequency of both warm weather and forest fires, which contributed to these melt events.	Scientists identified a layer in the core from 1889 with nearly bubble-free ice – a signature of snow that melted and later refroze<span id ="qEnd5">.</span>	Scientists identified a layer in the core from 1889 with nearly bubble-free ice – a signature of snow that melted and later refroze – as well as a high concentration of soot. Soot, which is produced by forest fires, in this case fires raging across Europe at the time, decreases the reflectivity of ice, making it more susceptible to melting<span id ="qEnd5">.</span>									<p>Proceedings of the National Academy of Sciences of the Unites States, <a target="_blank" href="https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4050608/">Climate change and forest fires synergistically drive widespread melt events of the Greenland Ice Sheet.</a></p><p>Scientific American, <a target="_blank" href="https://www.scientificamerican.com/article/lightning-caused-fires-rise-in-arctic-as-the-region-warms/">Lightning-Caused Fires Rise in Arctic as the Region Warms.</a></p>
1	6	Landscape painting	1850	1885	-50	-0.031	Painters like Frederic Edwin Church of the Hudson River School depicted natural scenery with awe and religious conviction, in some sense laying cultural groundwork for the environmental movement. In 1859, Church embarked on an expedition to the North Atlantic to sketch icebergs; the resulting paintings, first shown in 1861, are highly dramatic and reflect the sense of wonder – perhaps even fear – experienced by Church as he explored these glaciated seascapes.	In the 1800s, U.S. painters defined the role of landscape as an integral part of the nation’s post-colonial identity<span id ="qEnd6">.</span>	In the 1800s, U.S. painters defined the role of landscape as an integral part of the nation’s post-colonial identity<span id ="qEnd6">.</span>	The Icebergs by Frederic Edwin Church	© Dallas Museum of Art	church	880	501	228	226		
1	7	Frankenstein is published	1818	1823	-62.42	-0.039	In keeping with the Arctic obsession of her time, Mary Wollstonecraft Shelley uses the Arctic landscape as a mysterious and merciless backdrop in her classic tale, <i>Frankenstein; or, The Modern Prometheus</i>. While Frankenstein’s narrator initially imagines the North Pole as a “region of beauty and delight,” the unforgiving Arctic ultimately brings both Dr. Frankenstein and his creation to their demise.	Western fascination with the Far North drove both scientific exploration and artistic imagination, with the Arctic playing a key role in <span style="font-family: 'ProximaNova-Medium';">Frankenstein</span><span id ="qEnd7">.</span>	Western fascination with the Far North drove both scientific exploration and artistic imagination, with the Arctic playing a key role in <span style="font-family: 'ProximaNova-Medium';">Frankenstein</span><span id ="qEnd7">.</span>	<i>Frankenstein</i> by M.W. Shelley	Source: British Library	frank	750	1024	376	150		
2	8	Inuit wooden maps	1800	1816	-67	-0.042	They were carved by Inuits living near the Ammassalik Fjord in Greenland and used as navigational guides, floating if dropped in water. How common such maps were remains unknown. Those pictured here were sold to Danish explorers, who deposited them in the National Museum of Denmark in the late 1800s. They have been exhibited at the Field Museum in Chicago and featured on a Post Greenland stamp.	These tactile, wooden maps reflect the centrality of boating to Inuit economy and culture<span id ="qEnd8">.</span>	These tactile, wooden maps reflect the centrality of boating to Inuit economy and culture<span id ="qEnd8">.</span>			woodmap	286	553	370	150		
2	9	Search for the Northwest Passage	1650	1800	-100	-0.062	<p>Particularly influential in the European imagination of the Arctic was the theory of an ice-free polar sea. By the middle of the nineteenth century, the ancient Greek myth of Hyperborea – describing a warm, polar ocean with no ice and eternal sunlight – had reconstructed itself as the scientific hypothesis of the Northwest Passage. Faith in its existence was driven by the search for a commercially lucrative trade route between Western Europe and Asia; the desire to discover it inspired much of early European exploration of coastal North America.</p> <p>More recently, rising temperatures and vanishing polar sea ice suggest that new trade routes will begin to open up across the Arctic, belatedly, and ominously, fulfilling the vision of the Northwest Passage.</p>	Faith in the existence of the Passage was driven in large part by an appetite for a commercially lucrative trade route between Western Europe and Asia<span id ="qEnd9">.</span>	Faith in the existence of the Passage was driven in large part by an appetite for a commercially lucrative trade route between Western Europe and Asia<span id ="qEnd9">.</span>									<p>National Geographic, <a target="_blank" href="https://news.nationalgeographic.com/2016/10/northwest-passage-map-history/">These Maps Show the Epic Quest for a Northwest Passage.</a></p><p>The New York Times, <a target="_blank" href="https://www.nytimes.com/interactive/2017/05/03/science/earth/arctic-shipping.html?_r=0">As Arctic Ice Vanishes, New Shipping Routes Open.</a></p>
